year,month,site,lat,lon,type,W1_ERROR,W2_ERROR,W3_ERROR,W4_ERROR
2011,5,AT-Neu,47.11667,11.3175,GRA,0.330605714,NA,0.240372858,0.183301368
2011,6,AT-Neu,47.11667,11.3175,GRA,0,NA,0.218818985,0.607567418
2011,7,AT-Neu,47.11667,11.3175,GRA,0.156841339,NA,0.2073771,0.606895014
2011,8,AT-Neu,47.11667,11.3175,GRA,0.164858182,NA,0.252496531,0.191328172
2011,9,AT-Neu,47.11667,11.3175,GRA,0,NA,0.16837447,0.563508758
2011,10,AT-Neu,47.11667,11.3175,GRA,0.399698353,NA,0.119798433,0.193018951
2011,11,AT-Neu,47.11667,11.3175,GRA,5.894858988,NA,0.122405084,0.515652319
2011,1,AT-Neu,47.11667,11.3175,GRA,0,NA,0.03593387,0.052352294
2011,2,AT-Neu,47.11667,11.3175,GRA,1.12E-14,NA,0.087618026,0
2012,1,AT-Neu,47.11667,11.3175,GRA,2.05E-14,NA,0.020472053,0
2012,3,AT-Neu,47.11667,11.3175,GRA,0.960054522,NA,0.150765668,0.705887161
2012,5,AT-Neu,47.11667,11.3175,GRA,1.28E-14,NA,0.225677637,0.585177331
2012,6,AT-Neu,47.11667,11.3175,GRA,0,NA,0.25863692,0.153044195
2012,7,AT-Neu,47.11667,11.3175,GRA,0.332331114,NA,0.194496164,0.153380926
2012,8,AT-Neu,47.11667,11.3175,GRA,1.21E-14,NA,0.22843519,0.187321383
2012,9,AT-Neu,47.11667,11.3175,GRA,1.27E-14,NA,0.15174204,0.594107285
2012,10,AT-Neu,47.11667,11.3175,GRA,0,NA,0.091234832,0.564164221
2012,11,AT-Neu,47.11667,11.3175,GRA,5.46E-14,NA,0.083492688,0.54267324
2012,12,AT-Neu,47.11667,11.3175,GRA,1.707387525,NA,0.025737081,0.055343797
2010,1,AU-ASM,-22.283,133.249,ENF,0,0.997481436,0.577577443,0.407054106
2010,2,AU-ASM,-22.283,133.249,ENF,1.033018315,1.14492213,0.587001435,0.087162238
2010,3,AU-ASM,-22.283,133.249,ENF,1.034917546,0.593459886,0.498990485,0
2010,4,AU-ASM,-22.283,133.249,ENF,1.032935492,0.44836272,0.453324165,0.040883963
2010,5,AU-ASM,-22.283,133.249,ENF,1.030872576,0.280017809,0.370049898,0.067643907
2010,6,AU-ASM,-22.283,133.249,ENF,1.032935492,0.253884316,0.352307398,0.079472891
2010,7,AU-ASM,-22.283,133.249,ENF,1.032336148,NA,0.265765723,0.385909776
2010,8,AU-ASM,-22.283,133.249,ENF,1.15E-14,0.273708985,0.368621148,0.37051426
2010,9,AU-ASM,-22.283,133.249,ENF,1.084619242,0.28387619,0.375323486,0.336919637
2010,10,AU-ASM,-22.283,133.249,ENF,1.297040786,0.469836401,0.461214565,0.047070024
2010,11,AU-ASM,-22.283,133.249,ENF,1.61340374,0.866580101,0.559461224,0.41177287
2010,12,AU-ASM,-22.283,133.249,ENF,1.44E-14,1.182059675,0.59758066,0.358307468
2011,1,AU-ASM,-22.283,133.249,ENF,0,1.254901961,0.604144051,0.141600119
2011,2,AU-ASM,-22.283,133.249,ENF,0,0.449092742,0.457752901,0.036718099
2011,3,AU-ASM,-22.283,133.249,ENF,0.725287158,0.306781057,0.389560121,0
2011,4,AU-ASM,-22.283,133.249,ENF,1.58E-14,0.501501502,0.476545547,0.010965031
2011,5,AU-ASM,-22.283,133.249,ENF,0,0.302046477,0.386710439,0.057250765
2011,6,AU-ASM,-22.283,133.249,ENF,1.669658035,0.23397178,0.339843162,0.060369603
2011,7,AU-ASM,-22.283,133.249,ENF,0,0.301714868,0.386509086,0.108731607
2011,8,AU-ASM,-22.283,133.249,ENF,1.909102146,0.510673235,0.47957563,0.139436354
2011,9,AU-ASM,-22.283,133.249,ENF,0,0.838676153,0.555047354,0.166776604
2011,10,AU-ASM,-22.283,133.249,ENF,0,1.093668927,0.581825983,0.375411058
2011,11,AU-ASM,-22.283,133.249,ENF,1.704794327,1.104877826,0.589868605,0.205269565
2011,12,AU-ASM,-22.283,133.249,ENF,1.68E-14,1.91785601,0.635625066,0.411738659
2012,1,AU-ASM,-22.283,133.249,ENF,2.18E-14,2.047366678,0.64891094,0.547639934
2012,2,AU-ASM,-22.283,133.249,ENF,0,1.526500796,0.623929876,0.583945241
2012,3,AU-ASM,-22.283,133.249,ENF,1.271001959,0.645030934,0.511726123,0.013973724
2012,4,AU-ASM,-22.283,133.249,ENF,0,0.583204268,0.496273919,0
2012,5,AU-ASM,-22.283,133.249,ENF,1.839447885,0.403209078,0.435086296,0.055517125
2012,6,AU-ASM,-22.283,133.249,ENF,2.16E-14,0.279056835,0.372177334,0.583599042
2012,7,AU-ASM,-22.283,133.249,ENF,1.979643088,0.27866574,0.369173548,0.050835185
2012,8,AU-ASM,-22.283,133.249,ENF,1.987043259,0.563030921,0.49073468,0.049786761
2012,9,AU-ASM,-22.283,133.249,ENF,1.966807778,1.019935889,0.573658157,0.088514878
2012,10,AU-ASM,-22.283,133.249,ENF,1.35E-14,1.750538149,0.636251653,0.611754209
2012,11,AU-ASM,-22.283,133.249,ENF,1.661831922,2.032700422,0.64836202,0.604703233
2012,12,AU-ASM,-22.283,133.249,ENF,1.18E-14,1.918041106,0.643817217,0.584729836
2013,1,AU-ASM,-22.283,133.249,ENF,0,4.986465383,0.687539522,0.23170809
2013,2,AU-ASM,-22.283,133.249,ENF,1.833459304,2.20758664,0.654484654,0.455462529
2013,3,AU-ASM,-22.283,133.249,ENF,1.864206174,1.999673948,0.647099973,0.462506456
2013,4,AU-ASM,-22.283,133.249,ENF,1.858552112,0.991686872,0.570275557,0.255319415
2013,5,AU-ASM,-22.283,133.249,ENF,0,0.423091202,0.443410382,0.237171712
2013,6,AU-ASM,-22.283,133.249,ENF,1.42E-14,0.306001931,0.389094383,0.476472273
2013,7,AU-ASM,-22.283,133.249,ENF,1.934507494,0.364337407,0.420812328,0.485029097
2013,8,AU-ASM,-22.283,133.249,ENF,1.21E-14,0.743150555,0.538100129,0.484743183
2013,9,AU-ASM,-22.283,133.249,ENF,0,1.490120717,0.613999693,0.282270659
2013,10,AU-ASM,-22.283,133.249,ENF,0,2.169790518,0.653235724,0.473472844
2013,11,AU-ASM,-22.283,133.249,ENF,1.969910636,2.24767015,0.655768231,0.474094542
2013,12,AU-ASM,-22.283,133.249,ENF,1.666520094,1.770249925,0.629187942,0.242179186
2014,1,AU-ASM,-22.283,133.249,ENF,0,1.515035539,0.615543871,0.579492448
2014,2,AU-ASM,-22.283,133.249,ENF,0,0.807536642,0.549852323,0.083217877
2014,3,AU-ASM,-22.283,133.249,ENF,1.301359804,1.303685897,0.608200426,0
2014,4,AU-ASM,-22.283,133.249,ENF,1.416462764,0.660769731,0.51533126,0.495820984
2014,5,AU-ASM,-22.283,133.249,ENF,1.693003949,0.516600178,0.481496243,0.071506742
2014,6,AU-ASM,-22.283,133.249,ENF,1.956550086,0.30726384,0.386831971,0.526102729
2014,7,AU-ASM,-22.283,133.249,ENF,1.782941291,0.336937251,0.403390105,0.552353669
2014,8,AU-ASM,-22.283,133.249,ENF,1.910723637,0.411562538,0.442525178,0.102416517
2014,9,AU-ASM,-22.283,133.249,ENF,0,1.162060538,0.588649287,0.571972393
