site,type,lat,lon,N,R2,rMAE,CV_GPP,CV_W,CV_T,CV_TW,Residuals,rT_unique,rW_unique,rTW_shared,rTW_total,MAT,MAP
IT-Cpz,EBF,41.70525,12.37611,96,0.454710808,0.578117571,0.367637994,0.231767629,0.270507563,0.343600122,0.4564,-0.0089,-0.0067,0.348050037,0.332229581,16.47168455,932.5783638
IT-Lav,ENF,45.9562,11.28132,144,0.699176366,0.365564818,0.573273936,0.17558458,0.504400149,0.456863131,0.1137,0.0599,-3.00E-04,0.418142841,0.477829177,8.040876635,1319.982002
IT-MBo,GRA,46.01468,11.04583,122,0.86478498,0.273205201,0.979836385,0.23262772,0.521619075,0.623865987,0.1435,0.0057,-4.00E-04,0.425452423,0.430706363,9.527983402,1457.113991
IT-Noe,CSH,40.60618,8.15169,129,0.07873844,0.681145223,0.48007907,0.19795826,0.200880606,0.226218636,0.5264,0.4964,0.0856,-0.192989865,0.388935811,NA,NA
IT-Ren,ENF,46.58686,11.43369,127,0.756895133,0.386968341,0.752062523,0.121484837,0.570575323,0.621128022,0.0874,0.0439,-1.00E-04,0.367083059,0.410913872,5.373303293,1128.573767
IT-Ro1,DBF,42.40812,11.93001,95,0.771006904,1.451560386,0.819994265,0.218019433,0.230165425,0.338206725,0.2496,0.0077,0.0672,0.214285714,0.289179104,15.04827743,871.1911778
IT-Ro2,DBF,42.39026,11.92093,108,0.762718028,0.61642433,0.869278154,0.216396463,0.212183991,0.330410834,0.2859,-4.00E-04,0.0509,0.319843159,0.370256267,15.04827743,871.1911778
IT-SRo,ENF,43.72786,10.28444,144,0.545919346,0.380238051,0.460357801,0.22245392,0.240434247,0.315883725,0.376,-0.0042,0.0049,0.316987179,0.317788462,15.49077354,1076.948423
IT-Tor,GRA,45.84444,7.57806,56,0.644179464,0.280212411,0.739174724,0.190603243,0.431171165,0.488297469,0.3639,-0.0103,0.1981,0.32164754,0.509511083,4.676257251,1377.276974
JP-SMF,MF,35.2617,137.0788,60,0.789256239,0.575031389,0.485009573,0.126055533,0.318789634,0.387625142,0.19,0.0154,0.0702,0.55962963,0.645308642,13.62910073,1732.236769
MY-PSO,EBF,2.973,102.3062,78,0.010012689,0.471523201,0.092247874,0.055218788,0.008174304,0.054140148,0.9189,1.0864,-0.1531,-0.339087546,0.59432799,25.34371519,2164.385705
NL-Hor,GRA,52.24035,5.0713,94,0.707603071,0.356927596,0.747296709,0.287827511,0.382948069,0.545049683,0.2046,0.0186,5.00E-04,0.325748051,0.344857933,10.43661464,861.3044898
NL-Loo,ENF,52.16658,5.74356,163,0.87298772,0.221498387,0.638206249,0.211847148,0.378619928,0.418076563,0.0635,0.0695,0.001,0.378964229,0.449439402,10.28915751,870.5619924
RU-Che,WET,68.61304,161.34143,24,0.345673697,0.990451982,0.852417132,0.141931145,0.690819211,0.716846988,0.6688,-0.0335,0.0033,0.307971014,0.277777778,-10.10488151,290.4634978
RU-Cok,OSH,70.82914,147.49428,83,0.507545251,0.510476981,0.884565511,0.218554514,0.919843681,0.904727462,0.4547,0.0334,-0.0048,0.471483587,0.500091693,-12.41751772,281.8124054
RU-Fyo,ENF,56.46153,32.92208,141,0.782899216,0.306452034,0.851144831,0.218530209,0.636144087,0.704060245,0.1285,0.1391,5.00E-04,0.353184165,0.492713712,5.32906088,811.8241372
