year,month,site,lat,lon,type,T1_ERROR,T2_ERROR,T3_ERROR,T4_ERROR
2010,2,AU-ASM,-22.283,133.249,ENF,0.685257379,3.004663652,0,1.361100266
2010,3,AU-ASM,-22.283,133.249,ENF,1.098061305,0.835663134,0,0.561250817
2010,4,AU-ASM,-22.283,133.249,ENF,1.324386326,0.066655803,0,0.276172684
2010,5,AU-ASM,-22.283,133.249,ENF,1.906810143,0.969865189,0,0.26483195
2010,6,AU-ASM,-22.283,133.249,ENF,1.936771332,0.940311155,0,0.461083569
2010,7,AU-ASM,-22.283,133.249,ENF,1.914166713,0.920291232,0,0.493279255
2010,8,AU-ASM,-22.283,133.249,ENF,1.943455199,0.970034726,0,0.413988669
2010,9,AU-ASM,-22.283,133.249,ENF,1.846917784,0.921952187,0,0.203850377
2010,10,AU-ASM,-22.283,133.249,ENF,1.505002577,0.379235918,0,0.111419106
2010,11,AU-ASM,-22.283,133.249,ENF,1.087074652,0.867793906,0,0.507431671
2010,12,AU-ASM,-22.283,133.249,ENF,0.715715478,2.693811931,0,1.151927312
2011,1,AU-ASM,-22.283,133.249,ENF,0.68505067,3.753088496,0,1.701958443
2011,2,AU-ASM,-22.283,133.249,ENF,1.046216942,1.9997162,0,0.915523578
2011,3,AU-ASM,-22.283,133.249,ENF,1.39614366,0.580173285,0,0.448977996
2011,4,AU-ASM,-22.283,133.249,ENF,1.829978008,0.556919254,0,0.035706119
2011,5,AU-ASM,-22.283,133.249,ENF,2.133257079,0.983341151,0,0.371921746
2011,6,AU-ASM,-22.283,133.249,ENF,1.974580466,0.900130296,0.400745323,0.508489904
2011,7,AU-ASM,-22.283,133.249,ENF,2.113281908,0.97097281,0.471635002,0.418733556
2011,8,AU-ASM,-22.283,133.249,ENF,2.094598559,0.93554234,0,0.233701485
2011,9,AU-ASM,-22.283,133.249,ENF,1.817476895,0.50117132,0,0.039480052
2011,10,AU-ASM,-22.283,133.249,ENF,1.244504524,1.136536142,0,0.659381112
2011,11,AU-ASM,-22.283,133.249,ENF,1.064155449,1.915258728,0,0.885772593
2011,12,AU-ASM,-22.283,133.249,ENF,0.729410301,3.511999722,0,1.60834511
2012,1,AU-ASM,-22.283,133.249,ENF,0.696713941,4.025184538,0,1.889057249
2012,2,AU-ASM,-22.283,133.249,ENF,0.96589381,2.80179067,0,1.224983065
2012,3,AU-ASM,-22.283,133.249,ENF,1.414906795,0.870771059,0,0.538601603
2012,4,AU-ASM,-22.283,133.249,ENF,1.820257339,0.280918015,0,0.150423141
2012,5,AU-ASM,-22.283,133.249,ENF,2.18079467,0.981468177,0,0.303576916
2012,6,AU-ASM,-22.283,133.249,ENF,2.051859742,0.921014266,0.433885492,0.487396949
2012,7,AU-ASM,-22.283,133.249,ENF,2.003332257,0.883725182,0.370742042,0.519767688
2012,8,AU-ASM,-22.283,133.249,ENF,2.173852233,0.965393234,0.503736981,0.254725975
2012,9,AU-ASM,-22.283,133.249,ENF,1.765705596,0.152959791,0,0.198508071
2012,10,AU-ASM,-22.283,133.249,ENF,1.300509042,1.296728751,0,0.678267723
2012,11,AU-ASM,-22.283,133.249,ENF,0.838741057,3.462609725,0,1.534795428
2012,12,AU-ASM,-22.283,133.249,ENF,0.772638657,3.822791205,0,1.735991169
2013,1,AU-ASM,-22.283,133.249,ENF,0.742253213,4.978198081,0,2.931589036
2013,2,AU-ASM,-22.283,133.249,ENF,1.05190371,3.764449339,0,1.709272898
2013,3,AU-ASM,-22.283,133.249,ENF,1.102267031,3.568603261,0,1.588459767
2013,4,AU-ASM,-22.283,133.249,ENF,1.928701282,0.633109227,0,0.462452285
2013,5,AU-ASM,-22.283,133.249,ENF,2.428680404,0.81623052,0,0.093852925
2013,6,AU-ASM,-22.283,133.249,ENF,2.439432654,0.984200222,0,0.357630118
2013,7,AU-ASM,-22.283,133.249,ENF,2.439486607,0.984200961,0,0.357571085
2013,8,AU-ASM,-22.283,133.249,ENF,2.418779687,0.694463149,0,0.053427984
2013,9,AU-ASM,-22.283,133.249,ENF,1.735579303,1.250618713,0,0.661486875
2013,10,AU-ASM,-22.283,133.249,ENF,1.526198133,1.975711839,0,0.87268162
2013,11,AU-ASM,-22.283,133.249,ENF,1.204204199,3.175103193,0,1.374514578
2013,12,AU-ASM,-22.283,133.249,ENF,1.216374722,3.251527675,0,1.478762787
2014,1,AU-ASM,-22.283,133.249,ENF,0.859017778,3.551990446,0,1.632057236
2014,2,AU-ASM,-22.283,133.249,ENF,1.175062754,2.149020293,0,0.935712487
2014,3,AU-ASM,-22.283,133.249,ENF,1.133670966,2.322273083,0,1.001215655
2014,4,AU-ASM,-22.283,133.249,ENF,1.714858343,0.225680824,0,0.359821013
2014,5,AU-ASM,-22.283,133.249,ENF,2.060139907,0.571716083,0,0.007797174
2014,6,AU-ASM,-22.283,133.249,ENF,2.186954874,0.967595924,0.495467087,0.409410273
2014,7,AU-ASM,-22.283,133.249,ENF,2.209718488,0.965696679,0.463151173,0.4203576
2014,8,AU-ASM,-22.283,133.249,ENF,2.244934823,0.979706274,0.502070523,0.392536531
